iter	Passed	Remaining
0	175	174829
1	185	92448
2	200	66784
3	209	52184
4	219	43589
5	227	37679
6	235	33461
7	243	30244
8	253	27955
9	263	26081
10	271	24400
11	281	23170
12	289	21959
13	298	21028
14	306	20110
15	318	19615
16	330	19104
17	338	18464
18	347	17922
19	354	17378
20	363	16960
21	373	16584
22	380	16172
23	391	15900
24	398	15558
25	408	15300
26	416	14995
27	425	14768
28	433	14517
29	442	14297
30	451	14106
31	460	13915
32	469	13764
33	478	13599
34	488	13457
35	496	13302
36	505	13166
37	514	13018
38	522	12881
39	531	12763
40	541	12671
41	556	12689
42	569	12677
43	581	12643
44	591	12553
45	601	12476
46	611	12395
47	620	12303
48	630	12232
49	638	12136
50	648	12058
51	657	11993
52	666	11905
53	676	11848
54	684	11767
55	694	11705
56	703	11630
57	712	11566
58	721	11505
59	730	11439
60	739	11387
61	749	11332
62	759	11288
63	768	11238
64	779	11209
65	790	11185
66	800	11141
67	809	11098
68	820	11077
69	830	11037
70	840	10993
71	850	10957
72	859	10909
73	868	10872
74	877	10828
75	887	10790
76	897	10753
77	906	10716
78	916	10684
79	925	10646
80	934	10605
81	944	10574
82	953	10532
83	963	10511
84	973	10477
85	998	10609
86	1007	10569
87	1015	10523
88	1025	10497
89	1033	10451
90	1043	10420
91	1052	10385
92	1061	10351
93	1072	10333
94	1081	10303
95	1090	10270
96	1100	10240
97	1109	10213
98	1119	10186
99	1127	10151
100	1137	10128
101	1146	10096
102	1157	10079
103	1166	10053
104	1175	10022
105	1183	9984
106	1192	9953
107	1201	9925
108	1210	9898
109	1219	9870
110	1230	9856
111	1241	9846
112	1251	9823
113	1261	9807
114	1270	9777
115	1279	9753
116	1290	9736
117	1303	9739
118	1312	9715
119	1321	9693
120	1330	9667
121	1340	9650
122	1350	9625
123	1359	9606
124	1369	9583
125	1378	9560
126	1388	9541
127	1396	9515
128	1406	9496
129	1414	9467
130	1424	9448
131	1434	9434
132	1443	9408
133	1453	9392
134	1458	9348
135	1468	9328
136	1477	9305
137	1486	9283
138	1496	9268
139	1505	9246
140	1530	9324
141	1539	9301
142	1548	9281
143	1557	9256
144	1566	9238
145	1576	9218
146	1584	9195
147	1593	9176
148	1602	9154
149	1613	9140
